News Titles,Day,Date,Links
"Tamil Nadu

Cordoning off Ambedkar memorial in Chennai until CM’s visit leads to commotion
Mohamed Imranullah S.",Sunday, 14th April 2024,https://www.thehindu.com/news/national/tamil-nadu/
"Lok Sabha Elections

BJP is perilously intent on dismantling the Constitution: T.N. CM Stalin 
 The Hindu Bureau",Sunday, 14th April 2024,https://www.thehindu.com/elections/lok-sabha/
"Telangana

BRS pays rich tributes to Dr. Ambedkar, cautions people against parties threatening statute
 The Hindu Bureau",Sunday, 14th April 2024,https://www.thehindu.com/news/national/telangana/
"Other Sports

Candidates Chess | Gukesh beats Vidit Gujrathi to regain joint lead
 PTI",Sunday, 14th April 2024,https://www.thehindu.com/sport/other-sports/
"Andhra Pradesh Assembly

Another drama to gain sympathy of people, says ex-Minister Kondru Murali Mohan
 The Hindu Bureau",Sunday, 14th April 2024,https://www.thehindu.com/elections/andhra-pradesh-assembly/
"Lok Sabha Elections

Cash for vote I Tamil Nadu police summon BJP candidate Nainar Nagendran 
S. Vijay Kumar",Sunday, 14th April 2024,https://www.thehindu.com/elections/lok-sabha/
"Lok Sabha Elections

YSRCP alleges involvement of TDP in attack on Jagan
 The Hindu Bureau",Sunday, 14th April 2024,https://www.thehindu.com/elections/lok-sabha/
"Telangana

CM Revanth Reddy says Constitution enabled Telangana formation and hails Dr. Ambedkar on his birth anniversary
R. Ravikanth Reddy",Sunday, 14th April 2024,https://www.thehindu.com/news/national/telangana/
"Andhra Pradesh Assembly

ECI orders probe into alleged attack on Jagan Mohan Reddy
Sambasiva Rao M.",Sunday, 14th April 2024,https://www.thehindu.com/elections/andhra-pradesh-assembly/
"Movies

Nayanthara on board Nivin Pauly-starrer ‘Dear Students’
 PTI",Sunday, 14th April 2024,https://www.thehindu.com/entertainment/movies/
"India

Opposition lost power due to disunity; Congress’ problems need remedying: Amartya Sen
 PTI",Sunday, 14th April 2024,https://www.thehindu.com/news/national/
"Lok Sabha elections 2024
No accountability for old guarantees, just empty jugglery of words: Congress on BJP manifesto
 PTI",Sunday, 14th April 2024,
"Madhya Pradesh

Six-year-old boy who fell into a borewell in Madhya Pradesh dies
 PTI",Sunday, 14th April 2024,https://www.thehindu.com/news/national/madhya-pradesh/
"Movies

‘Ben Z’: Lokesh Kanagaraj to produce Raghava Lawrence’s next
 The Hindu Bureau",Sunday, 14th April 2024,https://www.thehindu.com/entertainment/movies/
"Movies

‘Triangle of Sadness’ director Ruben Östlund suggests cameras should be licensed and regulated like firearms
 The Hindu Bureau",Sunday, 14th April 2024,https://www.thehindu.com/entertainment/movies/
"Science

Entrepreneur and pilot, Gopichand Thotakura is aiming for a place in Indian space history
Jacob Koshy",Sunday, 14th April 2024,https://www.thehindu.com/sci-tech/science/
"World

Sydney stabbing attack | Police in Australia identify attacker who killed six people
 AP",Sunday, 14th April 2024,https://www.thehindu.com/news/international/
"Lok Sabha Elections

BJP’s Lok Sabha poll manifesto highlights: UCC implementation, maintaining peace in Northeast
 PTI",Sunday, 14th April 2024,https://www.thehindu.com/elections/lok-sabha/
"India

Army successfully conducts field trials of anti-tank guided missile system
 PTI",Sunday, 14th April 2024,https://www.thehindu.com/news/national/
"Himachal Pradesh

34 injured in bus accident in Himachal's Hamirpur
 PTI",Sunday, 14th April 2024,https://www.thehindu.com/news/national/himachal-pradesh/
"Movies

‘Civil War’ is A24’s highest opener, beating ‘Hereditary’
 The Hindu Bureau",Sunday, 14th April 2024,https://www.thehindu.com/entertainment/movies/
"Industry

Automobile exports from India dip 5.5% in FY24
 PTI",Sunday, 14th April 2024,https://www.thehindu.com/business/Industry/
"
premium
In Frames | Uncertain times
 Agencies",Sunday, 14th April 2024,/premium/
"India

IAF stepped in to handle air activity at Jamnagar airport during Ambani’s pre-wedding bash
Dinakar Peri",Sunday, 14th April 2024,https://www.thehindu.com/news/national/
"Karnataka

Top news developments in Karnataka on April 14, 2024
Nalme Nachiyar",Sunday, 14th April 2024,https://www.thehindu.com/news/national/karnataka/
"World

Iran-Israel tensions | A look at Israel’s air-defence system that protected it from Iran’s drone and missile strike
 AP",Sunday, 14th April 2024,https://www.thehindu.com/news/international/
"World

Iran-Israel tensions | U.S., U.N. condemn Iran's retaliatory attack on Israel; President Biden to convene G-7 leaders' meeting on response
 Agencies",Sunday, 14th April 2024,https://www.thehindu.com/news/international/
"World

Israel says Iran launched more than 300 drones and missiles, 99% of which were intercepted
 AP",Sunday, 14th April 2024,https://www.thehindu.com/news/international/
"Movies

Shots fired outside Salman Khan’s Mumbai residence just days after Ranbir-Alia’s Eid visit
 The Hindu Bureau",Sunday, 14th April 2024,https://www.thehindu.com/entertainment/movies/
"Features

A matter of taste | All things fruity and boozy
Magandeep Singh",Sunday, 14th April 2024,https://www.thehindu.com/food/features/
"Movies

Salman Khan greeted fans on Eid, days before gunmen fired outside his Mumbai residence
 The Hindu Bureau",Sunday, 14th April 2024,https://www.thehindu.com/entertainment/movies/
"India

Iran-Israel tensions | Seriously concerned over escalating hostilities: India
 PTI",Sunday, 14th April 2024,https://www.thehindu.com/news/national/
"India

President Murmu, PM Modi pay tributes to B.R. Ambedkar on his birth anniversary
 Agencies",Sunday, 14th April 2024,https://www.thehindu.com/news/national/
"
premium
Péter Magyar | The Orbán challenger
 Saumya Kalia",Sunday, 14th April 2024,/premium/
"Lok Sabha Elections

BJP releases manifesto ‘Sankalp Patra’ for Lok Sabha elections 2024
 The Hindu Bureau",Sunday, 14th April 2024,https://www.thehindu.com/elections/lok-sabha/
"Mumbai

Gunshots fired outside Salman Khan’s residence in Mumbai; probe launched
 PTI",Sunday, 14th April 2024,https://www.thehindu.com/news/cities/mumbai/
"Lok Sabha Elections

Lok Sabha polls: Adhir and Ahluwalia face protests during election campaign
Shiv Sahay Singh",Sunday, 14th April 2024,https://www.thehindu.com/elections/lok-sabha/
"India

AI presents both challenges and opportunities for courts, says CJI 
 The Hindu Bureau",Sunday, 14th April 2024,https://www.thehindu.com/news/national/
"Uttar Pradesh

Opposition manipulated with people’s faith, formed ties with criminals: U.P. CM Adityanath 
Mayank Kumar",Sunday, 14th April 2024,https://www.thehindu.com/news/national/uttar-pradesh/
"Karnataka

Origami butterflies for autism awareness crafted in a unique display
 The Hindu Bureau",Sunday, 14th April 2024,https://www.thehindu.com/news/national/karnataka/
"News

Morning Digest | Iran launches drones at Israel as regional crisis escalates; stone hurled at Andhra Pradesh chief minister causes minor injury, and more
 The Hindu Bureau",Sunday, 14th April 2024,https://www.thehindu.com/news/
"Lok Sabha Elections

In Chalakudy, LDF and UDF caution against Modi’s third term; BJP highlights Centre’s ‘achievements’
G. Krishnakumar",Sunday, 14th April 2024,https://www.thehindu.com/elections/lok-sabha/
